"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ","",""
"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ","9222","26668","477.13611819409","2.5007499625019","0.52%","",""
"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ","9201","64021","507.22323924962","0.31739585448525","0.06%","",""
"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ","9223","54415","479.14308554626","5.358448957089","1.12%","",""
"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ","9175","44539","421.76640696917","5.9022429780642","1.40%","",""
"ΔΗΜΟΣ ΠΕΙΡΑΙΑ","9205","163688","458.55273447046","1.0835858462441","0.24%","",""
"ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ","9176","34934","457.10030342932","1.3216350832999","0.29%","",""
"ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ","9206","25389","391.3802434125","0.29579739257159","0.08%","",""
"ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ","9183","139981","440.57718547517","0.089583586343861","0.02%","",""
"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΗΣ","9184","58979","353.9565268994","0.24161142101426","0.07%","",""
"ΔΗΜΟΣ ΠΟΡΟΥ","9210","3993","641.28424743301","0","0.00%","",""
"ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ","9224","20266","586.6644626468","2.8347971972762","0.48%","",""
"ΔΗΜΟΣ ΣΑΛΑΜΙΝΑΣ","9211","39283","582.02128147036","0","0.00%","",""
"ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ","9225","29002","712.67060892352","12.085373422523","1.70%","",""
"ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ","9226","33821","714.32677922001","4.0992282901156","0.57%","",""
"ΔΗΜΟΣ ΣΠΕΤΣΩΝ","9212","4027","656.33772038739","0","0.00%","",""
"ΔΗΜΟΣ ΤΡΟΙΖΗΝΙΑΣ","9213","7143","356.7475850483","0","0.00%","",""
"ΔΗΜΟΣ ΥΔΡΑΣ","9214","1966","0","0","","",""
"ΔΗΜΟΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΑΣ","9193","35556","437.08187085161","2.8304646191923","0.65%","",""
"ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ","9177","26968","611.25330020765","13.961732423613","2.28%","",""
"ΔΗΜΟΣ ΦΥΛΗΣ","9232","45965","866.17894049821","1.4465354073752","0.17%","",""
"ΔΗΜΟΣ ΧΑΪΔΑΡΙΟΥ","9185","46897","418.29594643581","0","0.00%","",""
"ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ","9178","74192","485.3443093595","10.142872546905","2.09%","",""
"ΔΗΜΟΣ ΩΡΩΠΟΥ","9227","33769","612.51976664989","0","0.00%","",""
