"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ",""
"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ","9222","26668","447.74786260687","10.060371981401","2.25%",""
"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ","9201","64021","457.38773215039","6.3571328157948","1.39%",""
"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ","9223","54415","493.63263805936","20.080492511256","4.07%",""
"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ","9175","44539","429.48270055457","17.946518781293","4.18%",""
"ΔΗΜΟΣ ΠΕΙΡΑΙΑ","9205","163688","444.77437564146","3.5496187869606","0.80%",""
"ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ","9176","34934","436.24520524417","13.325699891223","3.05%",""
"ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ","9206","25389","400.78971208003","2.8772302965851","0.72%",""
"ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ","9183","139981","433.38624527614","6.5163843664497","1.50%",""
"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΗΣ","9184","58979","342.26843452754","2.5614201664999","0.75%",""
"ΔΗΜΟΣ ΠΟΡΟΥ","9210","3993","596.62659654395","0","0.00%",""
"ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ","9224","20266","625.13174775486","14.486825224514","2.32%",""
"ΔΗΜΟΣ ΣΑΛΑΜΙΝΑΣ","9211","39283","573.91976172899","1.6640786090675","0.29%",""
"ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ","9225","29002","862.16536790566","19.378318736639","2.25%",""
"ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ","9226","33821","684.62313355607","20.240974542444","2.96%",""
"ΔΗΜΟΣ ΣΠΕΤΣΩΝ","9212","4027","685.49739259995","0","0.00%",""
"ΔΗΜΟΣ ΤΡΟΙΖΗΝΙΑΣ","9213","7143","352.487750245","0","0.00%",""
"ΔΗΜΟΣ ΥΔΡΑΣ","9214","1966","0","0","",""
"ΔΗΜΟΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΑΣ","9193","35556","443.10889863877","7.1338170772865","1.61%",""
"ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ","9177","26968","586.70201720558","48.746662711362","8.31%",""
"ΔΗΜΟΣ ΦΥΛΗΣ","9232","45965","659.83161100838","4.6328728380289","0.70%",""
"ΔΗΜΟΣ ΧΑΪΔΑΡΙΟΥ","9185","46897","400.52178177709","3.748427404738","0.94%",""
"ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ","9178","74192","470.75237222342","23.334995686867","4.96%",""
"ΔΗΜΟΣ ΩΡΩΠΟΥ","9227","33769","553.56667357636","0.96834374722379","0.17%",""
