"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ"
"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ","9179","26550","392.08286252354","17.778154425612","4.53%"
"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ","9167","59704","439.93033967573","46.956837062843","10.67%"
"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ","9194","71294","411.83054675008","31.683900468483","7.69%"
"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ","9180","62529","403.08049065234","29.099137999968","7.22%"
"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ","9207","1142","637.62697022767","6.4973730297723","1.02%"
"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ","9186","664046","495.57805182171","15.286102167621","3.08%"
"ΔΗΜΟΣ ΑΙΓΑΛΕΩ","9181","69946","474.99296600234","36.673004889486","7.72%"
"ΔΗΜΟΣ ΑΙΓΙΝΑΣ","9208","13056","662.20588235294","0.80575980392157","0.12%"
"ΔΗΜΟΣ ΑΛΙΜΟΥ","9195","41720","581.51404602109","65.134851390221","11.20%"
"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ","9168","72333","576.54627901511","65.144567486486","11.30%"
"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ","9228","30251","546.52685861624","15.300651218142","2.80%"
"ΔΗΜΟΣ ΑΧΑΡΝΩΝ","9215","106943","460.73216573315","16.416034710079","3.56%"
"ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ","9216","48399","749.1953965991","62.597326391041","8.36%"
"ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ","9169","30741","456.54890862366","136.75514784815","29.95%"
"ΔΗΜΟΣ ΒΥΡΩΝΑ","9187","61308","342.04769361258","14.894467279963","4.35%"
"ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ","9188","59345","342.39068160755","17.910186199343","5.23%"
"ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ","9196","87305","562.53801042323","75.677464062768","13.45%"
"ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ","9189","33628","390.15011300107","13.70102295706","3.51%"
"ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ","9217","40193","604.66648421367","98.951558729132","16.36%"
"ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ","9229","29902","534.51240719684","56.967092502174","10.66%"
"ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ","9197","51356","480.700891814","39.702079601215","8.26%"
"ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ","9190","71026","361.8538281756","18.375242868809","5.08%"
"ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΗΣ","9191","78153","386.96172891636","27.384361444858","7.08%"
"ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ","9170","49642","430.64078804238","66.24914387011","15.38%"
"ΔΗΜΟΣ ΙΛΙΟΥ","9182","84793","404.3333765759","33.739695493732","8.34%"
"ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ","9192","26458","400.45695063875","20.913901277496","5.22%"
"ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ","9198","100641","426.40484494391","20.000298089248","4.69%"
"ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ","9202","91045","395.01147784063","19.102971058268","4.84%"
"ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ","9171","71259","795.80701385088","53.333221066813","6.70%"
"ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ","9203","63445","366.82331152967","20.202537631019","5.51%"
"ΔΗΜΟΣ ΚΡΩΠΙΑΣ","9218","30307","715.69033556604","86.420199953806","12.08%"
"ΔΗΜΟΣ ΚΥΘΗΡΩΝ","9209","4041","14.387527839644","4.1425389755011","28.79%"
"ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ","9219","25102","586.97597800972","63.57107003426","10.83%"
"ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ","9172","31153","450.40670240426","47.419831155908","10.53%"
"ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ","9230","17885","583.01722113503","6.1235672351132","1.05%"
"ΔΗΜΟΣ ΜΑΡΑΘΩΝΑ","9220","33423","603.99171229393","48.836878796039","8.09%"
"ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ","9221","20040","777.08862275449","42.567664670659","5.48%"
"ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ","9231","36924","423.7504333225","16.753331166721","3.95%"
"ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΗΣ","9173","29891","530.95848248637","42.541902244823","8.01%"
"ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ","9199","40413","598.0701754386","43.837131616064","7.33%"
"ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ","9174","67134","438.36550779039","36.197604790419","8.26%"
"ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ","9200","73076","436.88528381411","15.258142208112","3.49%"
"ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ","9204","105430","452.39646210756","15.254671345917","3.37%"
"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ","9222","26668","504.94476526174","43.835195740213","8.68%"
"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ","9201","64021","510.05715312163","50.508739319911","9.90%"
"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ","9223","54415","546.05579343931","69.899954056786","12.80%"
"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ","9175","44539","458.10705224635","67.293383326972","14.69%"
"ΔΗΜΟΣ ΠΕΙΡΑΙΑ","9205","163688","463.64167196129","19.744513953375","4.26%"
