"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ"
"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΗΣ","9184","58979","363.29218874515","31.747910273148","8.74%"
"ΔΗΜΟΣ ΠΟΡΟΥ","9210","3993","577.52817430503","39.944903581267","6.92%"
"ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ","9224","20266","631.42307312741","27.285601500049","4.32%"
"ΔΗΜΟΣ ΣΑΛΑΜΙΝΑΣ","9211","39283","685.59631392714","14.638647761118","2.14%"
"ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ","9225","29002","1021.8878008413","57.787393972829","5.65%"
"ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ","9226","33821","756.93681440525","66.038555926791","8.72%"
"ΔΗΜΟΣ ΣΠΕΤΣΩΝ","9212","4027","624.0749937919","0","0.00%"
"ΔΗΜΟΣ ΤΡΟΙΖΗΝΙΑΣ","9213","7143","391.54136917262","5.1462970740585","1.31%"
"ΔΗΜΟΣ ΥΔΡΑΣ","9214","1966","0","0",""
"ΔΗΜΟΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΑΣ","9193","35556","486.17111036112","31.277421532231","6.43%"
"ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ","9177","26968","692.4847967962","120.84062592702","17.45%"
"ΔΗΜΟΣ ΦΥΛΗΣ","9232","45965","561.26465789187","23.532687914718","4.19%"
"ΔΗΜΟΣ ΧΑΪΔΑΡΙΟΥ","9185","46897","447.38096253492","37.526280998785","8.39%"
"ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ","9178","74192","526.68293077421","68.02364136295","12.92%"
"ΔΗΜΟΣ ΩΡΩΠΟΥ","9227","33769","619.4009298469","0.21528620924517","0.03%"
